"","Year","Precipitation"
"1",1950,4.01126360071842
"2",1951,3.19827003473887
"3",1952,1.1126828135782
"4",1953,1.61090816239094
"5",1954,2.69306677138095
"6",1955,2.3197849296554
"7",1956,0.986506006673576
"8",1957,2.63477554843568
"9",1958,3.63657055316874
"10",1959,0.521671505478762
"11",1960,2.5023381919966
"12",1961,2.93969126865116
"13",1962,2.06443877036562
"14",1963,0.991366749062893
"15",1964,1.01560623838573
"16",1965,0.615493495545595
"17",1966,3.93636015165276
"18",1967,3.39010865028478
"19",1968,1.53137532537727
"20",1969,2.15598488774255
"21",1970,3.32269875365096
"22",1971,1.78223544391043
"23",1972,2.45083220761353
"24",1973,2.03587884478938
"25",1974,3.38491709873269
"26",1975,1.08231162737841
"27",1976,1.76152990985875
"28",1977,4.20162284150025
"29",1978,2.66144678793317
"30",1979,1.65680649546217
"31",1980,2.91595009104681
"32",1981,2.08472850212879
"33",1982,2.17290317278719
"34",1983,1.39570346111138
"35",1984,2.22253167837528
"36",1985,1.05645273743286
"37",1986,0.457305005635299
"38",1987,2.02864268056751
"39",1988,2.73456516557669
"40",1989,4.08896735230566
"41",1990,6.21272080697134
"42",1991,2.17751272587834
"43",1992,2.5252367054465
"44",1993,0.851181892821274
"45",1994,2.77141891961218
"46",1995,4.36471279951114
"47",1996,3.00077761292191
"48",1997,5.26563968664045
"49",1998,2.21997570671649
"50",1999,2.63596739020966
"51",2000,4.0585821712281
"52",2001,3.15371361424212
"53",2002,5.6511453321393
"54",2003,1.4340195801873
"55",2004,1.96796786261466
"56",2005,2.00055500119654
"57",2006,1.87548526544452
"58",2007,3.55486921181528
"59",2008,2.31611654470495
"60",2009,1.74042428229494
"61",2010,2.21678709119848
"62",2011,3.55429198224751
"63",2012,1.48828009719622
"64",2013,1.7762882424858
"65",2014,5.36016589903191
"66",2015,2.39871295831945
"67",2016,3.39117348028827
"68",2017,2.92421784767256
"69",2018,1.57377059517181
"70",2019,1.85412429362469
"71",2020,4.91373273061167
